year,quarter,airport,passengers,departures,arrivals
2015,1,AMD,254046,136535,117511
2015,1,ATQ,102740,53814,48926
2015,1,BLR,667367,350836,316531
2015,1,BOM,2864373,1538255,1326118
2015,1,CCJ,591414,315818,275596
2015,1,CCU,412049,212112,199937
2015,1,CJB,29738,15789,13949
2015,1,COK,837864,448924,388940
2015,1,DEL,3255694,1670282,1585412
2015,1,GAY,25980,11148,14832
2015,1,GOI,114395,63518,50877
2015,1,HYD,629010,336115,292895
2015,1,IXE,118971,65451,53520
2015,1,IXM,53131,27143,25988
2015,1,JAI,88316,45961,42355
2015,1,LKO,130935,72037,58898
2015,1,MAA,1076688,569859,506829
2015,1,NAG,13132,7077,6055
2015,1,PNQ,31348,16952,14396
2015,1,TRV,503192,268264,234928
2015,1,TRZ,254093,130927,123166
2015,1,VNS,14786,9786,5000
2015,1,VTZ,19333,9762,9571
2015,2,AMD,256862,136786,120076
2015,2,ATQ,83430,51862,31568
2015,2,BLR,737653,367180,370473
2015,2,BOM,2771257,1448610,1322647
2015,2,CCJ,494262,245801,248461
2015,2,CCU,415731,216360,199371
2015,2,CJB,32723,16241,16482
2015,2,COK,1041082,504169,536913
2015,2,DEL,3005820,1611634,1394186
2015,2,GAY,3794,2043,1751
2015,2,GOI,70841,35270,35571
2015,2,HYD,678039,343915,334124
2015,2,IXE,167112,84125,82987
2015,2,IXM,62637,31513,31124
2015,2,JAI,84697,45403,39294
2015,2,LKO,142439,74725,67714
2015,2,MAA,1167408,595213,572195
2015,2,NAG,14173,7703,6470
2015,2,PNQ,61025,34718,26307
2015,2,TRV,554348,270215,284133
2015,2,TRZ,281006,139546,141460
2015,2,VNS,2680,1745,935
2015,2,VTZ,24324,11602,12722
2015,3,AMD,235845,124869,110976
2015,3,ATQ,84798,43672,41126
2015,3,BLR,680734,350071,330663
2015,3,BOM,2596448,1359942,1236506
2015,3,CCJ,473528,230546,242982
2015,3,CCU,425742,214362,211380
2015,3,CJB,30212,15820,14392
2015,3,COK,1064241,548414,515827
2015,3,DEL,2937560,1490188,1447372
2015,3,GAY,4432,1872,2560
2015,3,GOI,67218,35695,31523
2015,3,HYD,660560,339123,321437
2015,3,IXE,161980,84395,77585
2015,3,IXM,63943,32737,31206
2015,3,JAI,79830,43147,36683
2015,3,LKO,128737,65334,63403
2015,3,MAA,1150752,606461,544291
2015,3,NAG,12413,7093,5320
2015,3,PNQ,62023,35503,26520
2015,3,TRV,554705,283316,271389
2015,3,TRZ,269981,136205,133776
2015,3,VNS,9885,5264,4621
2015,3,VTZ,20018,10454,9564
2015,4,AMD,271730,125684,146046
2015,4,ATQ,125226,57907,67319
2015,4,BLR,836800,390560,446240
2015,4,BOM,2730556,1332094,1398462
2015,4,CCJ,490938,254071,236867
2015,4,CCU,538734,265118,273616
2015,4,CJB,34372,16878,17494
2015,4,COK,1066967,532989,533978
2015,4,DEL,3219640,1530247,1689393
2015,4,GAY,24537,10961,13576
2015,4,GOI,108839,48822,60017
2015,4,HYD,720994,355335,365659
2015,4,IXE,163278,84548,78730
2015,4,IXM,66839,34655,32184
2015,4,JAI,88551,43460,45091
2015,4,LKO,149066,72289,76777
2015,4,MAA,1056541,522353,534188
2015,4,NAG,20039,10028,10011
2015,4,PNQ,62329,32073,30256
2015,4,TRV,540206,267979,272227
2015,4,TRZ,259143,128747,130396
2015,4,VNS,21142,12287,8855
2015,4,VTZ,26606,12644,13962
2016,1,AMD,304101,160584,143517
2016,1,ATQ,142979,71292,71687
2016,1,BLR,764272,397366,366906
2016,1,BOM,2907526,1515768,1391758
2016,1,CCJ,527239,255781,271458
2016,1,CCU,529660,272366,257294
2016,1,CJB,31327,16415,14912
2016,1,COK,1106679,591693,514986
2016,1,DEL,3364247,1717420,1646827
2016,1,GAY,26161,11810,14351
2016,1,GOI,123709,68854,54855
2016,1,HYD,727963,394484,333479
2016,1,IXE,160563,87533,73030
2016,1,IXM,70257,36519,33738
2016,1,JAI,99050,52021,47029
2016,1,LKO,172195,88955,83240
2016,1,MAA,1170834,611144,559690
2016,1,NAG,39036,21955,17081
2016,1,PNQ,60467,33459,27008
2016,1,TRV,548818,290942,257876
2016,1,TRZ,287992,147681,140311
2016,1,VNS,20719,12231,8488
2016,1,VTZ,29024,15015,14009
2016,2,AMD,277031,148775,128256
2016,2,ATQ,124283,73133,51150
2016,2,BLR,835315,411885,423430
2016,2,BOM,2947208,1528587,1418621
