year,month,airport,passengers,departures,arrivals
2015,4,AGR,396,93,303
2015,4,AGX,1687,902,785
2015,4,AJL,11600,5690,5910
2015,4,AMD,413524,207881,205643
2015,4,ATQ,79211,43002,36209
2015,4,BBI,134847,65656,69191
2015,4,BDQ,64796,34351,30445
2015,4,BHJ,12710,6511,6199
2015,4,BHO,47356,24078,23278
2015,4,BHU,3506,1768,1738
2015,4,BLR,1206567,620461,586106
2015,4,BOM,2394229,1219152,1175077
2015,4,CCJ,32476,16141,16335
2015,4,CCU,795389,376809,418580
2015,4,CJB,132812,67214,65598
2015,4,COK,264881,130395,134486
2015,4,DED,38569,18942,19627
2015,4,DEL,2581504,1258863,1322641
2015,4,DHM,5443,2634,2809
2015,4,DIB,26593,12887,13706
2015,4,DIU,2033,956,1077
2015,4,DMU,6279,3264,3015
2015,4,GAU,218349,107075,111274
2015,4,GAY,3724,1724,2000
2015,4,GOI,326773,168259,158514
2015,4,GWL,810,439,371
2015,4,HJR,4650,2995,1655
2015,4,HYD,727288,376645,350643
2015,4,IDR,138942,70493,68449
2015,4,IMF,45789,23933,21856
2015,4,IXA,66809,34513,32296
2015,4,IXB,98541,49300,49241
2015,4,IXC,123964,61089,62875
2015,4,IXD,5372,2308,3064
2015,4,IXE,73514,35387,38127
2015,4,IXG,9040,4505,4535
2015,4,IXI,271,150,121
2015,4,IXJ,100392,51927,48465
2015,4,IXL,28713,12579,16134
2015,4,IXM,38020,19029,18991
2015,4,IXR,59335,29082,30253
2015,4,IXS,16845,8528,8317
2015,4,IXU,22750,12293,10457
2015,4,IXZ,72461,40269,32192
2015,4,JAI,182481,87247,95234
2015,4,JDH,22232,10412,11820
2015,4,JGA,5881,2955,2926
2015,4,JLR,10299,5078,5221
2015,4,JRH,4803,2404,2399
2015,4,KUU,1092,425,667
2015,4,LKO,189901,88592,101309
2015,4,MAA,855156,433702,421454
2015,4,NAG,114295,58397,55898
2015,4,PAT,127023,57805,69218
2015,4,PBD,1216,591,625
2015,4,PGH,780,388,392
2015,4,PNQ,399177,205609,193568
2015,4,PNY,549,294,255
2015,4,RAJ,36651,17816,18835
2015,4,RJA,10268,5042,5226
2015,4,RPR,95975,47696,48279
2015,4,SHL,1157,579,578
2015,4,STV,2937,1491,1446
2015,4,SXR,176272,87370,88902
2015,4,TCR,5345,2471,2874
2015,4,TEZ,438,280,158
2015,4,TIR,25953,12503,13450
2015,4,TRV,91063,44931,46132
2015,4,TRZ,13117,6623,6494
2015,4,UDR,38635,18683,19952
2015,4,VGA,30528,15512,15016
2015,4,VNS,81614,37617,43997
2015,4,VTZ,113356,55792,57564
2015,5,AGX,1269,482,787
2015,5,AJL,12501,5906,6595
2015,5,AMD,459229,240418,218811
2015,5,ATQ,70745,38929,31816
2015,5,BBI,151283,76660,74623
2015,5,BDQ,82383,44969,37414
2015,5,BHJ,11661,6475,5186
2015,5,BHO,51794,26604,25190
2015,5,BHU,3223,1603,1620
2015,5,BLR,1291529,616887,674642
2015,5,BOM,2535947,1267343,1268604
2015,5,CCJ,33826,16271,17555
2015,5,CCU,888180,438256,449924
2015,5,CJB,142722,69987,72735
2015,5,COK,281524,133536,147988
2015,5,DED,41990,21001,20989
2015,5,DEL,2854761,1462445,1392316
2015,5,DGH,160,76,84
2015,5,DHM,7540,3597,3943
2015,5,DIB,27804,12846,14958
2015,5,DIU,2210,1033,1177
2015,5,DMU,8600,4029,4571
2015,5,GAU,220745,106757,113988
2015,5,GAY,1881,703,1178
2015,5,GOI,301787,151417,150370
2015,5,GWL,747,371,376
2015,5,HBX,3083,1635,1448
2015,5,HJR,1223,715,508
2015,5,HYD,795260,398174,397086
2015,5,IDR,140082,73611,66471
2015,5,IMF,52124,25203,26921
2015,5,IXA,74054,37980,36074
2015,5,IXB,113019,55578,57441
2015,5,IXC,146825,75047,71778
2015,5,IXD,7855,3676,4179
2015,5,IXE,74719,37111,37608
2015,5,IXG,12502,6336,6166
2015,5,IXI,240,105,135
2015,5,IXJ,103769,51043,52726
2015,5,IXL,40482,19388,21094
2015,5,IXM,39797,19806,19991
2015,5,IXR,69626,35905,33721
2015,5,IXS,17176,8830,8346
2015,5,IXU,22795,12194,10601
2015,5,IXZ,78527,40967,37560
2015,5,JAI,192990,102812,90178
2015,5,JDH,23284,11896,11388
2015,5,JGA,8470,4318,4152
2015,5,JLR,10138,5002,5136
2015,5,JRH,4615,2256,2359
2015,5,KUU,1260,519,741
2015,5,LKO,216795,104480,112315
2015,5,MAA,928026,454749,473277
2015,5,NAG,134950,69601,65349
2015,5,PAT,137617,65055,72562
2015,5,PBD,1096,611,485
2015,5,PGH,947,467,480
2015,5,PNQ,425134,213718,211416
2015,5,PNY,788,461,327
2015,5,RAJ,35016,17525,17491
2015,5,RJA,10722,5191,5531
2015,5,RPR,108170,54893,53277
2015,5,SHL,1194,568,626
2015,5,STV,3439,1732,1707
2015,5,SXR,226670,109946,116724
2015,5,TCR,9207,4271,4936
2015,5,TEZ,181,73,108
2015,5,TIR,26073,12233,13840
2015,5,TRV,105593,52199,53394
2015,5,TRZ,15316,7733,7583
2015,5,UDR,35562,17802,17760
2015,5,VGA,29226,15071,14155
2015,5,VNS,90403,43224,47179
2015,5,VTZ,132201,66830,65371
2015,6,AGX,1256,506,750
2015,6,AJL,12432,6292,6140
2015,6,AMD,391942,192299,199643
2015,6,ATQ,66941,36622,30319
2015,6,BBI,138794,70318,68476
2015,6,BDQ,69019,34222,34797
2015,6,BHJ,9601,5025,4576
2015,6,BHO,49950,25046,24904
2015,6,BHU,2838,1454,1384
2015,6,BLR,1180098,586766,593332
2015,6,BOM,2234766,1077095,1157671
2015,6,CCJ,27164,12971,14193
2015,6,CCU,826041,414293,411748
2015,6,CDP,657,389,268
2015,6,CJB,129792,65791,64001
2015,6,COK,240628,122766,117862
2015,6,DED,38668,19597,19071
2015,6,DEL,2753266,1409036,1344230
2015,6,DGH,278,182,96
2015,6,DHM,8346,3989,4357
2015,6,DIB,26559,13497,13062
2015,6,DIU,1242,626,616
2015,6,DMU,9274,4921,4353
2015,6,GAU,223837,113151,110686
2015,6,GAY,1834,741,1093
2015,6,GOI,319659,163490,156169
2015,6,GWL,819,418,401
2015,6,HBX,2967,1579,1388
2015,6,HJR,902,592,310
2015,6,HYD,733289,358990,374299
2015,6,IDR,132878,68325,64553
2015,6,IMF,56436,30524,25912
2015,6,IXA,69188,34158,35030
2015,6,IXB,103882,54313,49569
2015,6,IXC,136599,71977,64622
2015,6,IXD,5974,3188,2786
2015,6,IXE,65155,32487,32668
2015,6,IXG,11158,5429,5729
2015,6,IXI,480,344,136
2015,6,IXJ,95425,46290,49135
2015,6,IXL,38390,19705,18685
2015,6,IXM,37400,18736,18664
2015,6,IXR,69197,34520,34677
2015,6,IXS,16559,8320,8239
2015,6,IXU,20088,10274,9814
2015,6,IXZ,62428,28197,34231
2015,6,JAI,181287,92981,88306
2015,6,JDH,21750,10537,11213
2015,6,JGA,6420,3031,3389
2015,6,JLR,9970,4964,5006
2015,6,JRH,3970,2023,1947
2015,6,KUU,1266,539,727
2015,6,LKO,229858,119251,110607
2015,6,MAA,827656,405902,421754
2015,6,NAG,129375,63810,65565
2015,6,PAT,130256,69310,60946
2015,6,PBD,1053,441,612
2015,6,PGH,660,348,312
2015,6,PNQ,391802,192283,199519
2015,6,PNY,771,381,390
2015,6,RAJ,31483,15236,16247
2015,6,RJA,9808,4695,5113
2015,6,RPR,98800,49818,48982
2015,6,SHL,1223,631,592
2015,6,STV,3105,1513,1592
2015,6,SXR,225657,114076,111581
2015,6,TCR,7931,3811,4120
2015,6,TEZ,302,235,67
2015,6,TIR,26545,12816,13729
2015,6,TRV,95282,50418,44864
2015,6,TRZ,13455,6931,6524
2015,6,UDR,33176,16140,17036
2015,6,VGA,31616,15820,15796
2015,6,VNS,80999,43120,37879
2015,6,VTZ,118114,58331,59783
2015,7,AGR,37,6,31
2015,7,AGX,899,375,524
2015,7,AJL,12474,6553,5921
2015,7,AMD,387083,194629,192454
2015,7,ATQ,73495,35980,37515
2015,7,BBI,131309,65565,65744
2015,7,BDQ,67971,34940,33031
2015,7,BHJ,10711,5392,5319
2015,7,BHO,53040,26622,26418
2015,7,BHU,3185,1532,1653
2015,7,BLR,1280466,640773,639693
2015,7,BOM,2308041,1169786,1138255
2015,7,CCJ,29929,13242,16687
2015,7,CCU,803850,395198,408652
2015,7,CDP,869,489,380
2015,7,CJB,126524,62621,63903
2015,7,COK,255042,122264,132778
2015,7,DED,36129,17576,18553
2015,7,DEL,2755569,1379264,1376305
2015,7,DGH,411,288,123
2015,7,DHM,6126,2965,3161
2015,7,DIB,27591,13676,13915
2015,7,DIU,1358,512,846
2015,7,DMU,9256,4911,4345
2015,7,GAU,242859,121918,120941
2015,7,GAY,1667,773,894
2015,7,GOI,362741,181513,181228
2015,7,GWL,648,268,380
2015,7,HBX,2773,1470,1303
2015,7,HJR,1558,1013,545
2015,7,HYD,792937,392622,400315
2015,7,IDR,125378,63459,61919
2015,7,IMF,57221,31734,25487
2015,7,IXA,71619,37337,34282
2015,7,IXB,87173,45157,42016
2015,7,IXC,127336,62492,64844
2015,7,IXD,4629,2240,2389
2015,7,IXE,74302,34148,40154
2015,7,IXG,13382,6571,6811
2015,7,IXI,385,290,95
2015,7,IXJ,98734,49288,49446
2015,7,IXL,35267,17933,17334
2015,7,IXM,45877,22700,23177
2015,7,IXR,63441,31909,31532
2015,7,IXS,18723,9015,9708
2015,7,IXU,21572,11357,10215
2015,7,IXZ,49313,24158,25155
2015,7,JAI,188240,92161,96079
2015,7,JDH,23405,11269,12136
2015,7,JGA,5705,2818,2887
2015,7,JLR,22267,11259,11008
2015,7,JRH,4713,2341,2372
2015,7,KUU,1211,546,665
2015,7,LKO,210071,105821,104250
2015,7,MAA,885998,438810,447188
2015,7,NAG,117107,58780,58327
2015,7,PAT,127890,64590,63300
2015,7,PBD,1182,535,647
2015,7,PGH,382,183,199
2015,7,PNQ,421882,212984,208898
2015,7,PNY,962,509,453
2015,7,RAJ,31562,15405,16157
2015,7,RJA,21619,10506,11113
2015,7,RPR,88623,45173,43450
2015,7,SHL,712,358,354
2015,7,STV,3020,1496,1524
2015,7,SXR,218569,109741,108828
2015,7,TCR,9364,4708,4656
2015,7,TEZ,332,244,88
2015,7,TIR,31736,15572,16164
2015,7,TRV,96886,47808,49078
2015,7,TRZ,13102,6390,6712
2015,7,UDR,39998,19308,20690
2015,7,VGA,35746,17931,17815
2015,7,VNS,74699,37732,36967
2015,7,VTZ,137701,68290,69411
2015,8,AGR,88,0,88
2015,8,AGX,914,484,430
2015,8,AJL,12488,6600,5888
2015,8,AMD,398389,201670,196719
2015,8,ATQ,72046,34887,37159
2015,8,BBI,131586,67003,64583
2015,8,BDQ,70393,36170,34223
2015,8,BHJ,11652,6122,5530
2015,8,BHO,54518,28071,26447
2015,8,BHU,3317,1631,1686
2015,8,BLR,1281898,641565,640333
2015,8,BOM,2374266,1158892,1215374
2015,8,CCJ,32747,16995,15752
2015,8,CCU,777026,384831,392195
2015,8,CDP,437,233,204
2015,8,CJB,129493,65524,63969
2015,8,COK,274308,137737,136571
2015,8,DED,36585,18229,18356
2015,8,DEL,2709311,1332601,1376710
2015,8,DGH,221,135,86
2015,8,DHM,5453,2608,2845
2015,8,DIB,23254,11630,11624
2015,8,DIU,2006,1050,956
2015,8,DMU,7541,3985,3556
2015,8,GAU,212173,104257,107916
2015,8,GAY,1606,701,905
2015,8,GOI,374605,191097,183508
2015,8,GWL,698,300,398
2015,8,HBX,3012,1572,1440
2015,8,HJR,2745,1795,950
2015,8,HYD,794643,411098,383545
2015,8,IDR,138117,70323,67794
2015,8,IMF,52468,30033,22435
2015,8,IXA,70854,38125,32729
2015,8,IXB,84497,44006,40491
2015,8,IXC,123696,61628,62068
2015,8,IXD,3967,1956,2011
2015,8,IXE,76043,38292,37751
2015,8,IXG,13056,6594,6462
2015,8,IXI,234,159,75
2015,8,IXJ,88648,43649,44999
2015,8,IXL,35260,18625,16635
2015,8,IXM,48570,24312,24258
2015,8,IXR,57740,29485,28255
2015,8,IXS,17733,9223,8510
2015,8,IXU,25254,13446,11808
2015,8,IXZ,53213,26563,26650
2015,8,JAI,192349,96586,95763
2015,8,JDH,24537,12136,12401
2015,8,JGA,5947,3020,2927
2015,8,JLR,20997,10463,10534
2015,8,JRH,4465,2219,2246
2015,8,KUU,940,413,527
2015,8,LKO,211705,105668,106037
2015,8,MAA,878596,444448,434148
2015,8,NAG,115876,58823,57053
2015,8,PAT,119823,60985,58838
2015,8,PBD,1122,589,533
2015,8,PGH,213,104,109
2015,8,PNQ,421920,212154,209766
2015,8,PNY,950,493,457
2015,8,RAJ,31224,16113,15111
2015,8,RJA,18153,9102,9051
2015,8,RPR,89771,46033,43738
2015,8,SHL,454,157,297
2015,8,STV,3071,1501,1570
2015,8,SXR,186357,100597,85760
2015,8,TCR,9062,4483,4579
2015,8,TEZ,242,153,89
2015,8,TIR,36102,17621,18481
2015,8,TRV,105706,52679,53027
2015,8,TRZ,15280,7728,7552
2015,8,UDR,43180,21642,21538
2015,8,VGA,31451,16254,15197
2015,8,VNS,76832,38857,37975
2015,8,VTZ,135640,68454,67186
2015,9,AGR,167,31,136
2015,9,AGX,1166,519,647
