year,airport,category,passengers
2015,AMD,international,1018483
2015,ATQ,international,396194
2015,BLR,international,2922554
2015,BOM,international,10962634
2015,CCJ,international,2050142
2015,CCU,international,1792256
2015,CJB,international,127045
2015,COK,international,4010154
2015,DEL,international,12418714
2015,GAY,international,58743
2015,GOI,international,361293
2015,HYD,international,2688603
2015,IXE,international,611341
2015,IXM,international,246550
2015,JAI,international,341394
2015,LKO,international,551177
2015,MAA,international,4451389
2015,NAG,international,59757
2015,PNQ,international,216725
2015,TRV,international,2152451
2015,TRZ,international,1064223
2015,VNS,international,48493
2015,VTZ,international,90281
2016,AGR,domestic,9111
2016,AGX,domestic,17748
2016,AJL,domestic,184524
2016,AMD,domestic,6106637
2016,ATQ,domestic,1033677
2016,BBI,domestic,2106999
2016,BDQ,domestic,1069633
2016,BHJ,domestic,172653
2016,BHO,domestic,689437
2016,BHU,domestic,19236
2016,BLR,domestic,18592859
2016,BOM,domestic,32246632
2016,BUP,domestic,611
2016,CCJ,domestic,409288
2016,CCU,domestic,12747016
2016,CDP,domestic,7866
2016,CJB,domestic,1859191
2016,COK,domestic,3921030
2016,DED,domestic,770258
2016,DEL,domestic,40997111
2016,DGH,domestic,7466
2016,DHM,domestic,108294
2016,DIB,domestic,301292
2016,DIU,domestic,21144
2016,DMU,domestic,132497
2016,GAU,domestic,3617090
2016,GAY,domestic,73895
2016,GOI,domestic,5683804
2016,GOP,domestic,44895
2016,GWL,domestic,14886
2016,HBX,domestic,33852
2016,HJR,domestic,62819
2016,HYD,domestic,11645241
2016,IDR,domestic,1689294
2016,IMF,domestic,821860
2016,IXA,domestic,1083349
2016,IXB,domestic,1402596
2016,IXC,domestic,1694467
2016,IXD,domestic,43609
2016,IXE,domestic,970956
2016,IXG,domestic,104123
2016,IXI,domestic,7385
2016,IXJ,domestic,1169909
2016,IXL,domestic,465205
2016,IXM,domestic,708431
2016,IXR,domestic,1000430
2016,IXS,domestic,189898
2016,IXU,domestic,308829
2016,IXZ,domestic,1061483
2016,JAI,domestic,3136199
2016,JDH,domestic,312041
2016,JGA,domestic,87404
2016,JLR,domestic,146078
2016,JRH,domestic,52533
2016,KNU,domestic,1197
2016,KUU,domestic,21955
2016,LKO,domestic,3078751
2016,MAA,domestic,12595414
2016,NAG,domestic,1724506
2016,PAT,domestic,1942697
2016,PBD,domestic,4490
2016,PGH,domestic,10693
2016,PNQ,domestic,6188965
2016,RAJ,domestic,397878
2016,RJA,domestic,235374
2016,RPR,domestic,1326732
2016,SHL,domestic,12283
2016,STV,domestic,157117
2016,SXR,domestic,2180086
2016,TCR,domestic,101620
2016,TEZ,domestic,4465
2016,TIR,domestic,502086
2016,TRV,domestic,1546931
2016,TRZ,domestic,172380
2016,UDR,domestic,1038616
2016,VGA,domestic,624698
2016,VNS,domestic,1721495
2016,VTZ,domestic,2191666
2016,AMD,international,1120879
2016,ATQ,international,572778
2016,BLR,international,3201631
2016,BOM,international,11748575
2016,CCJ,international,2152881
2016,CCU,international,2067036
2016,CJB,international,135405
2016,COK,international,4617196
2016,DEL,international,13745408
2016,GAY,international,57080
2016,GOI,international,403666
2016,HYD,international,2989902
2016,IXC,international,40492
2016,IXE,international,689512
2016,IXM,international,290553
2016,JAI,international,396466
2016,LKO,international,655272
2016,MAA,international,4820569
2016,NAG,international,122007
2016,PNQ,international,251490
2016,TRV,international,2239804
2016,TRZ,international,1170870
2016,VNS,international,84127
2016,VTZ,international,99541
2017,AGR,domestic,9605
2017,AGX,domestic,22491
2017,AJL,domestic,265040
2017,AMD,domestic,7468423
2017,ATQ,domestic,1478662
2017,BBI,domestic,2900304
2017,BDQ,domestic,994938
2017,BHJ,domestic,172738
2017,BHO,domestic,654385
2017,BHU,domestic,22382
2017,BKB,domestic,10471
2017,BLR,domestic,21216114
2017,BOM,domestic,33756281
2017,BUP,domestic,13398
2017,CCJ,domestic,493100
2017,CCU,domestic,16465893
2017,CDP,domestic,26003
2017,CJB,domestic,2114011
2017,COK,domestic,4787505
2017,DED,domestic,1036866
2017,DEL,domestic,46906282
2017,DGH,domestic,5917
2017,DHM,domestic,131184
2017,DIB,domestic,329355
2017,DIU,domestic,18771
2017,DMU,domestic,177049
2017,GAU,domestic,4764015
2017,GAY,domestic,61564
2017,GOI,domestic,6666192
2017,GOP,domestic,108600
2017,GWL,domestic,23277
2017,HBX,domestic,33491
2017,HJR,domestic,56137
2017,HYD,domestic,14867922
2017,IDR,domestic,2144487
2017,IMF,domestic,899552
2017,ISK,domestic,174
2017,IXA,domestic,1279581
2017,IXB,domestic,2145143
2017,IXC,domestic,2125848
2017,IXD,domestic,44428
2017,IXE,domestic,1306146
2017,IXG,domestic,125740
2017,IXI,domestic,6210
2017,IXJ,domestic,1369442
2017,IXL,domestic,601630
2017,IXM,domestic,994460
2017,IXR,domestic,1732522
2017,IXS,domestic,327555
2017,IXU,domestic,326247
2017,IXY,domestic,25507
2017,IXZ,domestic,1402909
2017,JAI,domestic,3931933
2017,JDH,domestic,432553
2017,JGA,domestic,66251
2017,JLG,domestic,78
2017,JLR,domestic,229983
2017,JRH,domestic,71883
2017,JSA,domestic,15792
2017,KNU,domestic,4642
2017,KUU,domestic,24654
2017,LKO,domestic,3729251
2017,LUH,domestic,5538
2017,MAA,domestic,14176981
2017,MYQ,domestic,9034
2017,NAG,domestic,1949444
2017,NDC,domestic,23111
2017,PAT,domestic,2868266
2017,PBD,domestic,24890
2017,PGH,domestic,14952
2017,PNQ,domestic,7511285
2017,PNY,domestic,17532
2017,RAJ,domestic,363701
2017,RJA,domestic,219263
2017,RPR,domestic,1525217
2017,SAG,domestic,17539
2017,SHL,domestic,13694
2017,SLV,domestic,6208
2017,STV,domestic,555158
2017,SXR,domestic,2262558
2017,TCR,domestic,104987
2017,TEZ,domestic,1693
2017,TIR,domestic,519212
2017,TRV,domestic,1855779
2017,TRZ,domestic,132722
2017,UDR,domestic,1075443
2017,VDY,domestic,6516
2017,VGA,domestic,723093
2017,VNS,domestic,1810935
2017,VTZ,domestic,2329744
2017,AMD,international,1114406
2017,ATQ,international,634008
2017,BBI,international,41620
2017,BLR,international,3468118
2017,BOM,international,12731707
2017,CCJ,international,2580864
2017,CCU,international,2437610
2017,CJB,international,167222
2017,COK,international,4779986
2017,DEL,international,15655079
2017,GAY,international,63347
2017,GOI,international,454097
2017,HYD,international,3168333
2017,IXC,international,149800
2017,IXE,international,748282
2017,IXM,international,289150
2017,JAI,international,462248
2017,LKO,international,709745
2017,MAA,international,4962782
2017,NAG,international,100228
2017,PNQ,international,278337
2017,TRV,international,2363863
2017,TRZ,international,1337252
2017,VNS,international,127654
2017,VTZ,international,115835
2018,AGR,domestic,17749
2018,AGX,domestic,27250
2018,AIP,domestic,35213
2018,AJL,domestic,235496
2018,AMD,domestic,9311060
2018,ATQ,domestic,1724991
2018,BBI,domestic,4075836
2018,BDQ,domestic,1088156
2018,BHJ,domestic,188933
2018,BHO,domestic,741698
2018,BHU,domestic,37468
2018,BKB,domestic,53717
2018,BLR,domestic,27956196
2018,BOM,domestic,35814474
2018,BUP,domestic,38243
2018,CCJ,domestic,623059
2018,CCU,domestic,19096318
2018,CDP,domestic,108439
2018,CJB,domestic,2700944
2018,COK,domestic,5479298
2018,DED,domestic,1221520
2018,DEL,domestic,51966210
2018,DGH,domestic,30308
2018,DHM,domestic,139866
2018,DIB,domestic,347238
2018,DIU,domestic,20020
2018,DMU,domestic,192918
2018,GAU,domestic,5774610
2018,GAY,domestic,74399
2018,GOI,domestic,7426377
2018,GOP,domestic,180266
2018,GWL,domestic,21737
2018,HBX,domestic,352524
2018,HJR,domestic,58166
2018,HYD,domestic,18796013
2018,IDR,domestic,2960445
2018,IMF,domestic,1151049
2018,ISK,domestic,24969
2018,IXA,domestic,1423887
2018,IXB,domestic,2777399
2018,IXC,domestic,1819634
2018,IXD,domestic,85495
2018,IXE,domestic,1612929
2018,IXG,domestic,109613
2018,IXI,domestic,8098
2018,IXJ,domestic,1402491
2018,IXL,domestic,740493
2018,IXM,domestic,1252125
2018,IXP,domestic,9108
2018,IXR,domestic,2448263
2018,IXS,domestic,393957
2018,IXT,domestic,1460
2018,IXU,domestic,347595
2018,IXY,domestic,53985
2018,IXZ,domestic,1686731
2018,JAI,domestic,4748799
2018,JDH,domestic,485530
2018,JGA,domestic,80357
2018,JGB,domestic,735
2018,JLG,domestic,2063
2018,JLR,domestic,234843
2018,JRH,domestic,128958
2018,JSA,domestic,108065
2018,KLH,domestic,4215
2018,KNU,domestic,73843
2018,KQH,domestic,11985
2018,KUU,domestic,25903
2018,LKO,domestic,4880679
2018,LUH,domestic,17745
2018,MAA,domestic,16982341
2018,MAQ,domestic,16320
2018,MDA,domestic,1329
2018,MYQ,domestic,41369
2018,NAG,domestic,2622378
2018,NDC,domestic,109667
2018,PAT,domestic,3923098
2018,PBD,domestic,53642
2018,PGH,domestic,12760
2018,PNQ,domestic,8692836
2018,PNY,domestic,87786
2018,PYG,domestic,11331
2018,RAJ,domestic,355197
2018,RJA,domestic,430632
2018,RPR,domestic,2024741
