year,month,origin,destination,passengers
2015,4,AGR,DEL,0
2015,4,AGR,HJR,93
2015,4,AGR,VNS,0
2015,4,AGX,COK,902
2015,4,AJL,CCU,3709
2015,4,AJL,GAU,1601
2015,4,AJL,IMF,380
2015,4,AMD,BHO,208
2015,4,AMD,BLR,11614
2015,4,AMD,BOM,85411
2015,4,AMD,CCU,11814
2015,4,AMD,CJB,540
2015,4,AMD,COK,1266
2015,4,AMD,DEL,55343
2015,4,AMD,DIB,418
2015,4,AMD,GAU,850
2015,4,AMD,GOI,4383
2015,4,AMD,HYD,9474
2015,4,AMD,IDR,103
2015,4,AMD,IMF,0
2015,4,AMD,JAI,3373
2015,4,AMD,LKO,1720
2015,4,AMD,MAA,12616
2015,4,AMD,NAG,980
2015,4,AMD,PNQ,7768
2015,4,ATQ,BOM,5407
2015,4,ATQ,DEL,33676
2015,4,ATQ,MAA,236
2015,4,ATQ,SXR,3683
2015,4,BBI,BLR,5493
2015,4,BBI,BOM,15237
2015,4,BBI,CCU,12964
2015,4,BBI,CJB,266
2015,4,BBI,DEL,23076
2015,4,BBI,HYD,6505
2015,4,BBI,IXZ,113
2015,4,BBI,MAA,1589
2015,4,BBI,VTZ,413
2015,4,BDQ,BLR,473
2015,4,BDQ,BOM,18625
2015,4,BDQ,CCU,355
2015,4,BDQ,DEL,13656
2015,4,BDQ,HYD,575
2015,4,BDQ,MAA,667
2015,4,BHJ,BOM,6275
2015,4,BHJ,DEL,236
2015,4,BHO,AMD,128
2015,4,BHO,BOM,12475
2015,4,BHO,DEL,11442
2015,4,BHO,IDR,33
2015,4,BHO,IXC,0
2015,4,BHO,RPR,0
2015,4,BHU,BOM,1768
2015,4,BLR,AMD,13209
2015,4,BLR,BBI,6196
2015,4,BLR,BDQ,0
2015,4,BLR,BOM,143226
2015,4,BLR,CCJ,1752
2015,4,BLR,CCU,32560
2015,4,BLR,CJB,6675
2015,4,BLR,COK,27946
2015,4,BLR,DED,931
2015,4,BLR,DEL,125123
2015,4,BLR,GAU,6016
2015,4,BLR,GOI,25539
2015,4,BLR,HYD,42464
2015,4,BLR,IDR,1595
2015,4,BLR,IMF,748
2015,4,BLR,IXA,777
