year,gdp_per_capita_ppp,population,air_passengers,flights_per_capita
1990,1211.98252596236,864972221.0,10862200.0,0.01255785993617476
1991,1239.05800550017,883927600.0,10717400.0,0.012124748678511679
1992,1308.60046648973,902957070.0,11127100.0,0.012322955730331675
1993,1374.10152892404,922118387.0,9441600.0,0.01023903235539755
1994,1466.60425541449,941163767.0,11518400.0,0.012238465189448799
1995,1578.67124418308,960301044.0,14260600.0,0.01485013485000439
1996,1694.73980804852,979678458.0,13394600.0,0.013672445168739231
1997,1758.85336185916,999133762.0,16039800.0,0.01605370633046429
1998,1852.40649050297,1018665080.0,16521000.0,0.016218284423767625
1999,2006.27286702604,1038225823.0,16005400.0,0.015416106636369033
2000,2090.85806894486,1057922733.0,17299483.0,0.016352312376295256
2001,2199.53910446478,1077898575.0,16862737.0,0.015644085066166824
2002,2277.06974775051,1097600380.0,17633019.0,0.016065062769019815
2003,2461.48251610861,1116803006.0,19455085.0,0.017420337244328656
2004,2681.86116841254,1135991513.0,23934074.0,0.02106888451727368
2005,2936.80322011933,1154676322.0,27879461.0,0.024144827835137682
2006,3220.62692939401,1172878890.0,40288794.0,0.03435034456115073
2007,3508.06183171605,1190676021.0,51897450.0,0.04358654166598019
2008,3633.36783240716,1207930964.0,49877935.0,0.04129204109052047
2009,3886.58197693247,1225524753.0,54446373.0,0.04442698759590048
2010,4206.45986002117,1243481564.0,64374253.8038964,0.051769367289064526
2011,4454.70153200513,1261224954.0,73996912.0,0.05867066915011261
2012,4819.64288218731,1278674502.0,72151828.8895485,0.056427049086139124
2013,5014.3505659078,1295829511.0,75589071.0,0.05833257412209066
2014,5191.59149903249,1312277191.0,82718882.88,0.06303461147333163
2015,5425.03599091046,1328024498.0,98927860.0,0.07449249629730852
2016,5800.48149366552,1343944296.0,119577835.0,0.08897529113066752
2017,6144.71714444938,1359657400.0,139752424.0,0.10278502805191955
2018,6714.96639877754,1374659064.0,164035637.545,0.11932823333495293
2019,7150.92423452926,1389030312.0,167499116.0,0.12058708478350327
2020,6966.27542785911,1402617695.0,68959633.0,0.04916495296318075
2021,8050.01857452664,1414203896.0,83964797.0,0.059372483159953054
2022,9207.12743040145,1425423212.0,139996043.466,0.09821366895630432
2023,10323.4998734428,1438069596.0,180415784.228,0.1254569213686373
2024,11159.9856476091,1450935791.0,,
